Project,DOI,Title,Year,Relation,Proposal
Discar,,Two case studies detailing Bayesian parameter inference for dynamic energy budget models,2019,Proposal,Top5
Discar,,Accelerated modern human–induced species losses: Entering the sixth mass extinction,2015,Proposal,Output
Discar,,Assessing nature’s contributions to people,2018,Proposal,
Discar,,"Small carnivores: evolution, ecology, behaviour, and conservation",2022,Proposal,
Discar,,Emerging themes in Population Consequences of Disturbance models,2021,Proposal,
Discar,,Overcoming the Data Crisis in Biodiversity Conservation,2018,Proposal,
Discar,,An interim framework for assessing the population consequences of disturbance,2015,Proposal,
Discar,,Integrating dynamic energy budgets into matrix population models,2006,Proposal,
Discar,,Shining the spotlight on small mammalian carnivores: Global status and threats,2021,Proposal,
Discar,,Middle‐out ecology: small carnivores as sentinels of global change,2022,Proposal,
Discar,,Dynamic Energy Budget theory meets individual-based modelling: a generic and accessible implementation: DEB theory in an IBM context.,2012,Proposal,
Discar,,Using short-term measures of behaviour to estimate long-term fitness of southern elephant seals,2014,Proposal,
Discar,,Understanding the population consequences of disturbance,2018,Proposal,
Discar,,Understanding the combined effects of multiple stressors: A new perspective on a longstanding challenge,2022,Proposal,
Discar,,A safe operating space for humanity,2009,Proposal,
Discar,,COMADRE: a global data base of animal demography,2016,Proposal,
Discar,,Mechanistic description of population dynamics using dynamic energy budget theory incorporated into integral projection models,2017,Proposal,
Discar,,Ecological impacts of human‐induced animal behaviour change,2020,Proposal,
Discar,,Impacts of Biodiversity Loss on Ocean Ecosystem Services,2006,Proposal,
Discar,,A global review of the conservation threats and status of mustelids,2022,Proposal,
Discar,10.57750/yfm2-5f45,Trade-off between deep learning for species identification and inference about predator-prey co-occurrence: Reproducible R workflow integrating models in computer vision and ecological statistics Computo,2021,Top5,
Discar,,Ecological correlates of large carnivore depredation on sheep in Europe,2021,Top5,
Discar,,Efficient use of harvest data: An integrated population model for exploited animal populations,2021,Top5,
Discar,,Assessing the dynamics of hybridization through a matrix modelling approach,2020,Top5,
Discar,,Spatial density estimates of Eurasian lynx (Lynx lynx) in the French Jura and Vosges Mountains,2019,Top5,
Discar,,"Landscape genetic connectivity in European wildcat (Felis silvestris silvestris): a matter of food, shelters and demographic status of populations",2022,Top5,
Discar,,"Estimation of bait uptake by badgers, using non-invasive methods, in the perspective of oral vaccination against bovine tuberculosis in a French infected area",2022,Top5,
Discar,,Breaking down population density into different components to better understand its spatial variation: the relative role of sett density and group size in European badgers,2021,Top5,
Discar,,Altitude shapes the environmental drivers of large‐scale variation in abundance of a widespread mammal species,2020,Top5,
Discar,,Home-range size and fidelity of two sympatric Martes species,2018,Top5,
Discar,,Middle‐out ecology: small carnivores as sentinels of global change,2022,Top5,
Discar,,Shining the spotlight on small mammalian carnivores: Global status and threats,2021,Top5,
Discar,,Predicted climate‐induced reductions in scavenging in eastern North America,2021,Top5,
Discar,,Reproductive state influences the degree of risk tolerance for a seasonally breeding mesopredator,2021,Top5,
Discar,,Spatial partitioning by a subordinate carnivore is mediated by conspecific overlap,2019,Top5,
Discar,,Socioecosystems. Indiscipline as a requirement of the field,2022,Top5,
Discar,,Numerical response of predators to large variations of grassland vole abundance and long-term community change,2020,Top5,
Discar,,Spatio-temporal trends in richness and persistence of bacterial communities in decline-phase water vole populations,2020,Top5,
Discar,,Trophic transfer of pesticides: the fine line between predator-prey regulation and pesticide-pest regulation,2020,Top5,
Discar,,Weather influences M. arvalis reproduction but not population dynamics in a 17-year time series,2019,Top5,
Discar,,Integrating developmental plasticity into eco-evolutionary population dynamics,2022,Top5,
Discar,,Unusually paced life history strategies of marine megafauna drive atypical sensitivities to environmental variability,2020,Top5,
Discar,,A functional trait approach to identifying life history patterns in stochastic environments,2019,Top5,
Discar,,Trait-based predictions and responses from laboratory mite populations to harvesting in stochastic environments,2018,Top5,
Discar,,Mechanistic description of population dynamics using dynamic energy budget theory incorporated into integral projection models,2017,Top5,
Discar,,Breaking down population density into different components to better understand its spatial variation,2021,Top5,
Discar,,Anthropogenic threats drive spatio-temporal responses of wildcat on Mt. Etna,2021,Top5,
Discar,,Altitude shapes the environmental drivers of large-scale variation in abundance of a widespread mammal species,2019,Top5,
Discar,,Habitat fragmentation and anthropogenic factors affect wildcat (Felis silvestris silvestris) occupancy and detectability on Mt. Etna,2019,Top5,
Discar,,Level- and scale-dependent habitat selection for resting sites by two syntopic Martes species,2017,Top5,
Discar,,Movement and seasonal energetics mediate vulnerability to disturbance in marine mammal populations,2021,Top5,
Discar,,Energy‐mediated responses to changing prey size and distribution in marine top predator movements and population dynamics,2022,Top5,
Discar,,From theory to practice in pattern‐oriented modelling: identifying and using empirical patterns in predictive models,2021,Top5,
Discar,,Insectivorous bats form mobile sensory networks to optimize prey localization: The case of the common noctule bat,2022,Top5,
Discar,,"The ODD protocol for describing agent-based and other simulation models: A second update to improve clarity, replication, and structural realism.",2020,Top5,
Discar,,Climate change does not decouple interactions between a central‐place‐foraging predator and its migratory prey,2022,Top5,
Discar,,Modeling the demography of species providing extended parental care: a capture–recapture multievent model with a case study on polar bears (Ursus maritimus),2021,Top5,
Discar,,The kinship matrix: inferring the kinship structure of a population from its demography,2021,Top5,
Discar,,How many cubs can a mum nurse? Maternal age and size influence litter size in polar bears,2019,Top5,
Discar,,Mapping and explaining wolf recolonization in France using dynamic occupancy models and opportunistic data,2018,Top5,
Discar,10.3389/fevo.2022.981842,Stabilizing effects of group formation by Serengeti herbivores on predator-prey dynamics,2022,Top5,
Discar,10.1111/jzo.12944,"Where and when does the danger lie? Assessing how location, season and time of day affect the sequential stages of predation by lions in western Serengeti National Park",2021,Top5,
Discar,,Mapping out a future for ungulate migrations,2021,Top5,
Discar,10.1002/jwmg.21829,Anthropogenic disturbance and population viability of woodland caribou in Ontario,2020,Top5,
Discar,,Moving in the Anthropocene: Global reductions in terrestrial mammalian movements,2018,Top5,
Discar,,Key questions in marine mammal bioenergetics,2022,Top5,
Discar,,"State-dependent behavioral and life history models predict the population consequences of acoustic disturbance, with application to endangered western gray whales",2021,Top5,
Discar,,Practical application of a bioenergetic model to inform management of a declining fur seal population and their commercially important prey,2020,Top5,
Discar,,Anthropogenic disturbance in a changing environment: modelling lifetime reproductive success to predict the consequences of multiple stressors on a migratory population,2019,Top5,
Discar,,A state-dependent model for assessing the population consequences of disturbance on income-breeding mammals,2018,Top5,
Discar,,Life history mediates the trade-offs among different components of demographic resilience,2022,Top5,
Discar,,The myriad of complex demographic responses of terrestrial mammals to climate change and gaps of knowledge,2021,Top5,
Discar,,Perennial plants with short generation time have stronger responses to climate anomalies than those with longer generation time,2021,Top5,
Discar,,Animal life history is shaped by the pace of life and the distribution of age-specific mortality and reproduction,2019,Top5,
Discar,,Interactive life-history traits predict sensitivity of plants and animals to temporal autocorrelation,2018,Top5,
Discar,,"Delivering the promises of trait-based approaches to the needs of demographic approaches, and vice versa",2018,Top5,
Discar,10.1051/parasite/2021073,"Soil contamination by Echinococcus multilocularis in rural and urban vegetable gardens in relation to fox, cat and dog faecal deposits",2021,Top5,
Discar,,Identifying drivers of fox and cat faecal deposits in kitchen gardens into order to evaluate measures for reducing contamination of fresh fruit and vegetables,2019,Top5,
Discar,,Pattern of latrine use by domestic cats on dairy farms and the implications for Toxoplasma gondi,2019,Top5,
Discar,10.1038/s41598-018-34430-7,Evaluating metabarcoding to analyse diet composition of species foraging in anthropogenic landscapes using Ion Torrent and Illumina sequencing,2018,Top5,
Discar,,A multi-event capture–recapture analysis of Toxoplasma gondii seroconversion dynamics in farm cats,2018,Top5,
Discar,10.1111/ele.70198,Understanding and Predicting Population Response to Anthropogenic Disturbance: Current Approaches and Novel Opportunities,2025,Output,
Discar,10.1007/s10980-025-02282-y,Accounting for spatial heterogeneity in trapping pressure and its impact on population dynamics of sympatric pine and stone martens,2025,Output,
Discar,10.1002/aqc.70013,Spatial Occupancy Models for Data Collected on Stream Networks,2024,Output,
Discar,10.1111/2041-210X.14418,Bringing circuit theory into spatial occupancy models to assess landscape connectivity,2024,Output,
Discar,10.5852/naturae2025a12,"Étude du retour de la Loutre d’Europe Lutra lutra (Linnaeus, 1758) sur le fleuve Lez (fleuve côtier, Hérault, France) grâce aux méthodes non-invasives de suivi des populations et une collaboration étroite entre structures académiques et territoriales",2025,Output,
Discar,10.1016/j.biocon.2025.111179,Range expansion and reconnection of historical populations in the Eurasian otter (Lutra lutra) in France: Insights from heterogeneous data and integrated species distribution,2025,Output,
Discar,10.24072/pcjournal.543/,Modelling Eurasian lynx populations in Western Europe: What prospects for the next 50 years?,2025,Output
